"AMOSTRAS","Quadrante","Count","Area","Total_Area","%Area","Perimetro","Major_E","Minor_E","Angle","Circularidade","Solidity","Feret","FeretX","Feret y","FeretAngle","MinFeret"
"BGM-0035","Q3","354","11.511186440677966","40.749600000000001","43.17","34.956000000000003","12.73","9.7799999999999994","74.051000000000002","0.96399999999999997","0.90100000000000002","14.25","187.66399999999999","195.20599999999999","103.197","1.0165"
"BGM-0035","Q4","407","1.3068058968058969","53.186999999999998","53.86","37.64","13.566999999999998","1.0251000000000001","69.703999999999994","0.95399999999999996","0.89800000000000002","15.172000000000001","203.715","199.29","103.313","1.0733999999999999"
"BGM-0036","Q1","606","10.095709570957096","61.18","90.44","82.6","29.73","2.1429999999999998","74.707999999999998","0.93300000000000005","0.89","33.119999999999997","194.738","201.911","103.922","2.2719999999999998"
"BGM-0036","Q2","459","16.854030501089326","77.36","87.89","89.63","34.97","2.3329999999999997","53.151000000000003","0.94599999999999995","0.90800000000000003","39.49","100.608","97.084999999999994","112.184","2.4700000000000002"
"BGM-0036","Q3","512","19.60546875","10.038","13.309999999999999","10.554","39.200000000000003","2.58","59.725000000000001","0.92","0.89300000000000002","44.48","102.85899999999999","98.034999999999997","110.48","2.7890000000000001"
"BGM-0036","Q4","461","15.911062906724512","73.349999999999994","89.77","89.64","34.479999999999997","2.238","55.877000000000002","0.71199999999999997","0.999","39.11","102.584","102.33","11.396000000000001","2.403"
"BGM-0048","Q1","533","9.9324577861163235","52.94","68.83","74.86","26.83","1.9530000000000001","69.533000000000001","0.94","0.89300000000000002","30.01","191.10300000000001","200.405","103.82899999999999","2.069"
"BGM-0048","Q2","427","20.70023419203747","88.39","93.42","97.15","36.92","2.4620000000000002","57.055999999999997","0.93500000000000005","0.9","42.07","104.52","100.717","111.94","2.6230000000000002"
"BGM-0048","Q3","416","27.53125","11.452999999999999","123.4","11.157","40.98","2.6719999999999997","62.863999999999997","0.91700000000000004","0.89300000000000002","46.46","98.745000000000005","97.51","111.991","2.919"
"BGM-0048","Q4","451","19.676274944567627","88.74","106.24","97.33","36.81","2.42","56.368000000000002","0.61799999999999999","0.996","41.77","98.334999999999994","103.304","110.539","2.609"
